Iteration	#RemainLeaves	RTL	PrunedLeaf
1	3710	0.999998336393	WP_007954565_1
2	3709	0.999996606243	WP_008698763_1
3	3708	0.999994876092	WP_013571121_1
4	3707	0.999993112669	WP_000036736_1
5	3706	0.999991349246	WP_000955620_1
6	3705	0.999989585823	WP_000955644_1
7	3704	0.999987822400	WP_001916755_1
8	3703	0.999986058977	WP_003184875_1
9	3702	0.999984295554	WP_003222156_1
10	3701	0.999982532131	WP_003244233_1
11	3700	0.999980768708	WP_003835282_1
12	3699	0.999979005285	WP_004447229_1
13	3698	0.999977241862	WP_004449407_1
14	3697	0.999975478439	WP_004729126_1
15	3696	0.999973715016	WP_005097093_1
16	3695	0.999971951593	WP_005736198_1
17	3694	0.999970188170	WP_005910167_1
18	3693	0.999968424747	WP_006639135_1
19	3692	0.999966661324	WP_006696758_1
20	3691	0.999964897901	WP_007879116_1
21	3690	0.999963134478	WP_007964291_1
22	3689	0.999961371055	WP_008505383_1
23	3688	0.999959607632	WP_008547156_1
24	3687	0.999957844209	WP_008728894_1
25	3686	0.999956080786	WP_009055140_1
26	3685	0.999954317363	WP_009086962_1
27	3684	0.999952553941	WP_009497016_1
28	3683	0.999950790518	WP_010592910_1
29	3682	0.999949027095	WP_011163347_1
30	3681	0.999947263672	WP_012011300_1
31	3680	0.999945500249	WP_012079127_1
32	3679	0.999943736826	WP_012673107_1
33	3678	0.999941973403	WP_012844185_1
34	3677	0.999940209980	WP_012907154_1
35	3676	0.999938446557	WP_016659026_1
36	3675	0.999936683134	WP_017911066_1
37	3674	0.999934919711	WP_017984869_1
38	3673	0.999933156288	WP_018410263_1
39	3672	0.999931392865	WP_018875142_1
40	3671	0.999929629442	WP_019592655_1
41	3670	0.999927866019	WP_020128478_1
42	3669	0.999926069324	WP_000955601_1
43	3668	0.999924272629	WP_000955605_1
44	3667	0.999922475934	WP_000955629_1
45	3666	0.999920679239	WP_000955678_1
46	3665	0.999918882543	WP_001121757_1
47	3664	0.999917085848	WP_001474582_1
48	3663	0.999915289153	WP_001919564_1
49	3662	0.999913492458	WP_001951231_1
50	3661	0.999911695763	WP_001954569_1
51	3660	0.999909899068	WP_002441581_1
52	3659	0.999908102373	WP_002554711_1
53	3658	0.999906305678	WP_002661684_1
54	3657	0.999904508983	WP_002670350_1
55	3656	0.999902712288	WP_002680771_1
56	3655	0.999900915592	WP_002736475_1
57	3654	0.999899118897	WP_002797083_1
58	3653	0.999897322202	WP_002839176_1
59	3652	0.999895525507	WP_002856553_1
60	3651	0.999893728812	WP_002865208_1
61	3650	0.999891932117	WP_002882234_1
62	3649	0.999890135422	WP_002934795_1
63	3648	0.999888338727	WP_003127565_1
64	3647	0.999886542032	WP_003198270_1
65	3646	0.999884745337	WP_003219294_1
66	3645	0.999882948642	WP_003235209_1
67	3644	0.999881151946	WP_003268703_1
68	3643	0.999879355251	WP_003502596_1
69	3642	0.999877558556	WP_003540456_1
70	3641	0.999875761861	WP_003637874_1
71	3640	0.999873965166	WP_003708584_1
72	3639	0.999872168471	WP_003968663_1
73	3638	0.999870371776	WP_004105008_1
74	3637	0.999868575081	WP_004294925_1
75	3636	0.999866778386	WP_004381800_1
76	3635	0.999864981691	WP_004452132_1
77	3634	0.999863184995	WP_004744746_1
