TargetLeaf	ClosestLeaf	BranchLength	State
WP_000018101_1	WP_000018115_1	0.00444	original
WP_000018113_1	WP_000018115_1	0.00336	original
WP_000018114_1	WP_000018115_1	0.00391	original
WP_000018115_1	WP_000018113_1	0.00336	original
WP_000018119_1	WP_017862296_1	0.00279	original
WP_000036717_1	WP_001609277_1	0.00193	original
WP_000036718_1	WP_000036728_1	0.00521	original
WP_000036720_1	WP_001501383_1	0.00465	original
WP_000036721_1	WP_000036729_1	0.01820	original
WP_000036722_1	WP_000036724_1	0.00170	original
WP_000036723_1	WP_000036717_1	0.00265	original
WP_000036724_1	WP_000036722_1	0.00170	original
WP_000036725_1	WP_001645681_1	0.00520	original
WP_000036726_1	WP_000036723_1	0.00453	original
WP_000036727_1	WP_001501383_1	0.00520	original
WP_000036728_1	WP_000036718_1	0.00521	original
WP_000036729_1	WP_001603367_1	0.00473	original
WP_000036730_1	WP_000036723_1	0.00508	original
WP_000036731_1	WP_012907154_1	0.00470	original
WP_000036733_1	WP_000036734_1	0.00399	original
WP_000036734_1	WP_016506376_1	0.00288	original
WP_000036735_1	WP_000036734_1	0.00510	original
WP_000036736_1	WP_000036741_1	0.00387	original
WP_000036738_1	WP_000036741_1	0.00338	original
WP_000036739_1	WP_000036738_1	0.00512	original
WP_000036741_1	WP_000036738_1	0.00338	original
WP_000036742_1	WP_000036741_1	0.00339	original
WP_000078448_1	WP_000078452_1	0.00285	original
WP_000078452_1	WP_000078448_1	0.00285	original
WP_000097706_1	WP_013467817_1	0.94352	original
WP_000103945_1	WP_000103946_1	0.00290	original
WP_000103946_1	WP_000103945_1	0.00290	original
WP_000103947_1	WP_016085606_1	0.00291	original
WP_000103948_1	WP_016127684_1	0.00291	original
WP_000103949_1	WP_000103950_1	0.00290	original
WP_000103950_1	WP_000103949_1	0.00290	original
WP_000103951_1	WP_000103954_1	0.00290	original
WP_000103952_1	WP_000103951_1	0.00390	original
WP_000103953_1	WP_000103955_1	0.00291	original
WP_000103954_1	WP_000103951_1	0.00290	original
WP_000103955_1	WP_000103953_1	0.00291	original
WP_000103956_1	WP_000103951_1	0.00509	original
WP_000103957_1	WP_000103956_1	0.00623	original
WP_000103958_1	WP_016112481_1	0.01573	original
WP_000955570_1	WP_000955612_1	0.00721	original
WP_000955571_1	WP_000955605_1	0.00516	original
WP_000955572_1	WP_000955603_1	0.00574	original
WP_000955573_1	WP_000955678_1	0.00344	original
WP_000955574_1	WP_000955620_1	0.00575	original
WP_000955575_1	WP_000955608_1	0.00399	original
WP_000955576_1	WP_000955594_1	0.01002	original
